			[*strength.w=>-p]	[*footmin-none]	[*word-elision]	[*stress.w=>-p]	[*posthoc-standardize-weakpos]	[*stress.s=>-u]	[*footmin-no-s-unless-preceded-by-ww]	[*posthoc-no-final-ww]	[*strength.s=>-u]
	EACH.WOUND|of.the|HEART.DEEP|er.grows|WITH|our.years			5		1		1	1	1	
And the evening of life's seldom tranquil or free.	and.the|EVE|ning.of|LIFE'S.SEL|dom|TRAN|quil.or|FREE			4			1				
	AND|the|EVE|ning|OF|life's|SEL|dom|TRAN|quil.or|FREE			1		1	1	2			
	AND|the|EVE|ning|OF|life's|SEL|dom|TRAN|quil|OR|free					2		3			
	AND|the|EVE|ning.of|LIFE'S.SEL|dom|TRAN|quil.or|FREE			3			2	1			
	and.the|EVE|ning|OF|life's|SEL|dom|TRAN|quil.or|FREE			2		1	2	1			
	AND|the|EVE|ning.of|LIFE'S.SEL|dom|TRAN|quil|OR|free			2		1	1	2			
	and.the|EVE|ning|OF|life's|SEL|dom|TRAN|quil|OR|free			1		2	1	2			
	AND|the|EVE|ning|OF|life's|SEL|dom|TRAN|quil|OR.FREE			1		1		3	1		
	and.the|EVE|ning.of|LIFE'S.SEL|dom|TRAN|quil|OR|free			3		1	2	1			
	AND|the|EVE|ning.of|LIFE'S.SEL|dom|TRAN|quil|OR.FREE			3			1	2	1		
	and.the|EVE|ning|OF|life's|SEL|dom|TRAN|quil|OR.FREE			2		1	1	2	1		
	and.the|EVE|ning.of|LIFE'S.SEL|dom.tran|QUIL|or.free		1	5		2		1		1	1
To you the chief Grievance and Plague of the Time,	to|YOU|the.chief|GRIEV|ance.and|PLAGUE|of.the|TIME	2		3		1	1	1			
	to.you|THE|chief|GRIEV|ance.and|PLAGUE|of.the|TIME			3		1	1	1			
	TO|you|THE|chief|GRIEV|ance|AND|plague|OF|the|TIME					2		4			
	to|YOU|the|CHIEF.GRIEV|ance|AND|plague|OF|the|TIME			1		1		3	1		
	TO|you|THE|chief|GRIEV|ance.and|PLAGUE|of.the|TIME			2		1	2	2			
	TO|you|THE|chief|GRIEV|ance.and|PLAGUE.OF|the|TIME			2		1	1	3			
	TO|you|THE|chief|GRIEV|ance.and|PLAGUE|of|THE|time			1		2	1	3			
	to|YOU|the.chief|GRIEV|ance|AND|plague|OF|the|TIME			1		2	1	3			
	to.you|THE|chief|GRIEV|ance|AND|plague|OF|the|TIME			1		2	1	3			
	to|YOU|the|CHIEF|griev|ANCE|and|PLAGUE|of.the|TIME		1	1		1	1	2			1
	to|YOU|the|CHIEF|griev|ANCE|and|PLAGUE|of|THE|time		1			2		3			1
	to|YOU|the|CHIEF.GRIEV|ance.and|PLAGUE|of.the|TIME			3			2	1	1		
	to|YOU|the|CHIEF.GRIEV|ance.and|PLAGUE.OF|the|TIME			3			1	2	1		
	to|YOU|the|CHIEF.GRIEV|ance.and|PLAGUE|of|THE|time			2		1	1	2	1		
	to|YOU|the.chief|GRIEV|ance.and|PLAGUE|of|THE|time			2		2	2	2			
	to.you|THE|chief|GRIEV|ance.and|PLAGUE|of|THE|time			2		2	2	2			
Heavy Thrashers of Prose, and Tormentors of Rhime.	HE|avy|THRASH|ers.of|PROSE|and.tor|MEN|tors.of|RHIME		1	3		1	1				
	HE|avy|THRASH|ers.of|PROSE|and|TOR|men|TORS|of|RHIME		1	1		1	1	1			1
	HE|avy|THRASH|ers.of|PROSE|and|TOR.MEN|tors.of|RHIME			3			2		1		
	HE|avy|THRASH|ers.of|PROSE|and|TOR.MEN|tors|OF|rhime			2		1	1	1	1		
	HE|avy|THRASH|ers|OF|prose|AND|tor|MEN|tors.of|RHIME		1	1		2	1	2			
	HE|avy|THRASH|ers|OF|prose|AND|tor|MEN|tors|OF|rhime		1			3		3			
	HE|avy|THRASH|ers.of|PROSE|and|TOR.MEN|tors|OF.RHIME			3			1	1	2		
	HE|avy|THRASH|ers.of|PROSE|and|TOR|men.tors|OF|rhime		1	2		2	2	1			
	HE|avy|THRASH|ers.of|PROSE|and.tor|MEN|tors|OF|rhime		1	2		2	2	1			
	HE|avy|THRASH|ers|OF|prose|AND|tor|MEN|tors|OF.RHIME		1	1		2		3	1		
You Play-Wights and Authors, with all their Attendance,	you|PLAY|wights.and|AU|thors.with|ALL|their.at|TEN|dance	2		3		1	2				
	YOU|play|WIGHTS|and|AU|thors|WITH|all|THEIR|at|TEN|dance					1		3			
	you|PLAY.WIGHTS|and|AU|thors|WITH|all|THEIR|at|TEN|dance			1				2	1		
	you|PLAY|wights.and|AU|thors|WITH|all|THEIR|at|TEN|dance			1		1	1	2			
	you.play|WIGHTS|and|AU|thors|WITH|all|THEIR|at|TEN|dance			1		1	1	2			
	you.play|WIGHTS|and|AU|thors.with|ALL|their.at|TEN|dance			3		1	2				
	YOU|play|WIGHTS|and|AU|thors.with|ALL|their.at|TEN|dance			2		1	2	1			
	you|PLAY.WIGHTS|and|AU|thors.with|ALL|their.at|TEN|dance			3			2		1		
	you|PLAY|wights.and|AU|thors.with|ALL|their.at|TEN.DANCE			4		1	1	1			1
	you.play|WIGHTS|and|AU|thors.with|ALL|their.at|TEN.DANCE			4		1	1	1			1
	you|PLAY.WIGHTS|and|AU|thors.with|ALL|their|AT.TEN|dance			3			1	1	2		1
The Locusts of Egypt were a civiller Vengeance.	the|LO|custs.of|EGY|pt|WERE|a|CI|vi.ller|VEN|geance			2			2	1			
	the|LO|custs.of|EGY|pt|WERE|a|CI|vi|LLER.VEN|geance			2			1	2	1		
	THE|lo|CUSTS|of|EGY|pt|WERE|a|CI|vi.ller|VEN|geance		1	1		1	1	3			1
	the|LO|custs.of|EGY|pt|WERE|a|CI|vi|LLER|ven|GEANCE		1	1		1	1	3			1
	THE|lo|CUSTS|of|EGY|pt|WERE|a|CI|vi|LLER.VEN|geance		1	1		1		4	1		1
	the|LO|custs|OF|egy|PT|were|A|ci|VI|ller|VEN|geance		2			2		4			2
From him who each Action o'th' Publick misconstrues,	from|HIM|who.each|AC|tion.o'th|PUB|lick|MIS|con|STRUES [*Bounded]	1		2		1	2	2			
	FROM|him|WHO|each|AC|tion|O'TH.PUB|lick|MIS|con|STRUES			1				2	1		
	FROM|him|WHO|each|AC|tion.o'th|PUB|lick|MIS|con|STRUES			1		1	1	2			
	from.him|WHO|each|AC|tion|O'TH.PUB|lick|MIS|con|STRUES			2			1	1	1		
	from.him|WHO|each|AC|tion.o'th|PUB|lick|MIS|con|STRUES			2		1	2	1			
	from|HIM|who|EACH|ac|TION|o'th|PUB|lick|MIS|con|STRUES		1			2		3			1
	from.him|WHO|each|AC|tion.o'th|PUB|lick.mis|CON.STRUES			4		1	1	1			1
	from.him|WHO|each|AC|tion.o'th|PUB.LICK|mis.con|STRUES			4		1	1	1			1
To the Makers of Devils, and Sermons, and Monsters;	to.the|MAK|ers.of|DEV|ils.and|SER|mons.and|MON|sters	1		4			1				
	TO|the|MAK|ers.of|DEV|ils.and|SER|mons.and|MON|sters			3			2	1			
	to.the|MAK|ers.of|DEV|ils.and|SER|mons.and|MON.STERS			5				1			1
	TO|the|MAK|ers.of|DEV|ils.and|SER|mons.and|MON.STERS			4			1	2			1
	TO|the|MAK|ers|OF|dev|ILS|and|SER|mons.and|MON|sters		1	1		1	1	3			1
	TO|the|MAK|ers.of|DEV|ils|AND|ser|MONS|and|MON|sters		1	1		1	1	3			1
	to|THE|mak|ERS|of|DEV|ils.and|SER|mons.and|MON|sters		1	2		1	2	2			1
	to.the|MAK|ers|OF|dev|ILS|and|SER|mons.and|MON|sters		1	2		1	2	2			1
	to.the|MAK|ers.of|DEV|ils|AND|ser|MONS|and|MON|sters		1	2		1	2	2			1
	TO|the|MAK|ers|OF|dev|ILS|and|SER|mons|AND.MON|sters		1	1		1		4	1		1
	to|THE|mak|ERS|of|DEV|ils|AND|ser|MONS|and|MON|sters		2			2		4			2
	to|THE|mak|ERS|of|DEV|ils.and|SER|mons|AND.MON|sters		1	2		1	1	3	1		1
	to.the|MAK|ers|OF|dev|ILS|and|SER|mons|AND.MON|sters		1	2		1	1	3	1		1
Than whom there's no Vulture discover can further,	than|WHOM|there's.no|VUL|ture.dis|COV|er.can|FUR|ther	1		3		1	2				
	than|WHOM|there's|NO|vul|TURE|dis|COV|er.can|FUR|ther		1	1		1	1	1			1
	than|WHOM|there's|NO.VUL|ture.dis|COV|er.can|FUR|ther			3			2		1		
	THAN|whom|THERE'S|no|VUL|ture.dis|COV|er.can|FUR|ther			2		1	2	2			
	than|WHOM|there's|NO|vul|TURE|dis|COV|er|CAN.FUR|ther		1	1		1		2	1		1
	than|WHOM|there's|NO.VUL|ture.dis|COV|er|CAN.FUR|ther			3			1	1	2		
	than|WHOM|there's.no|VUL|ture.dis|COV|er.can|FUR.THER			4		1	1	1			1
	THAN|whom|THERE'S|no|VUL|ture.dis|COV|er|CAN.FUR|ther			2		1	1	3	1		
	THAN|whom|THERE'S|no|VUL|ture|DIS|cov|ER|can|FUR|ther		1			2		4			2
	than|WHOM|there's|NO|vul|TURE|dis|COV|er|CAN|fur|THER		2			2		3			2
	than|WHOM|there's|NO.VUL|ture.dis|COV|er|CAN|fur|THER		1	2		1	1	2	1		1
By Instinct, the Approach of Dire Battle and Murder.	by|IN|stinct|THE|ap|PROACH|of|DI|re|BAT|tle.and|MUR|der			1			1	1			
	by|IN|stinct|THE|ap|PROACH|of|DI|re|BAT|tle|AND.MUR|der			1				2	1		
	by|IN|stinct|THE|ap|PROACH|of|DIRE|bat|TLE|and|MUR|der		1			1		2			1
To each politick Stroker, or hungry Backbiter,	to.each|POL|i.tick|STRO|ker.or|HUN|gry.ba|CK|biter	1	2	4		2	1	1			1
	TO|each|POL|i|TICK|stro|KER|or|HUN|gry|BA|ck|BITER		1			1		3			1
	TO|each|POL|i|TICK.STRO|ker.or|HUN|gry|BA|ck|BITER			2			1	2	1		
	to.each|POL|i|TICK|stro|KER|or|HUN|gry|BA|ck|BITER		1	1		1	1	2			1
	to.each|POL|i|TICK.STRO|ker.or|HUN|gry|BA|ck|BITER			3			2	1	1		
	to|EACH.POL|i|TICK|stro|KER|or|HUN|gry|BA|ck|BITER		1	1		1		2	1		1
	to|EACH.POL|i|TICK.STRO|ker.or|HUN|gry|BA|ck|BITER			3			1	1	2		
	to.each|POL|i.tick|STRO|ker.or|HUN|gry|BA|ck|BITER		1	3		1	2	1			
	to.each|POL|i.tick|STRO|ker.or|HUN|gry|BA|ck.biter		1	4		1	1			1	
	TO|each|POL|i.tick|STRO|ker.or|HUN|gry|BA|ck|BITER		1	2		1	2	2			
	TO|each|POL|i|TICK|stro|KER|or|HUN|gry|BA|ck.biter		1	1		1	1	2		1	1
	to.each|POL|i|TICK.STRO|ker.or|HUN|gry|BA|ck.biter			4			2		1	1	
	TO|each|POL|i|TICK.STRO|ker.or|HUN|gry|BA|ck.biter			3			2	1	1	1	
	TO|each|POL|i.tick|STRO|ker.or|HUN|gry|BA|ck.biter		1	3		1	2	1		1	
	to.each|POL|i|TICK|stro|KER|or|HUN|gry|BA|ck.biter		1	2		1	2	1		1	1
	to|EACH.POL|i|TICK|stro|KER|or|HUN|gry|BA|ck.biter		1	2		1	1	1	1	1	1
	to.each|POL|i.tick|STRO|ker.or|HUN|gry.ba|CK.BITER		2	5		2		2			1
	to.each|POL|i.tick|STRO|ker.or|HUN.GRY|ba.ck|BITER		2	5		2		2			1
From the Bawdy Song-Scribler, to the Godly Book-Writer:	FROM|the|BAW|dy|SONG.SCR|ibler|TO|the|GOD|ly|BOOK.WRIT|er			2				2	2		
	FROM|the|BAW|dy|SONG.SCR|ibler|TO|the|GOD|ly.book|WRIT|er			2		1	1	2	1		
	FROM|the|BAW|dy.song|SCR|ibler|TO|the|GOD|ly|BOOK.WRIT|er			2		1	1	2	1		
	from.the|BAW|dy|SONG.SCR|ibler|TO|the|GOD|ly|BOOK.WRIT|er			3			1	1	2		
	FROM|the|BAW|dy.song|SCR|ibler|TO|the|GOD|ly.book|WRIT|er			2		2	2	2			
	from.the|BAW|dy|SONG.SCR|ibler|TO|the|GOD|ly.book|WRIT|er			3		1	2	1	1		
	from.the|BAW|dy.song|SCR|ibler|TO|the|GOD|ly|BOOK.WRIT|er			3		1	2	1	1		
	FROM|the|BAW|dy|SONG.SCR|ibler|TO|the|GOD|ly|BOOK|writ|ER		1	1		1		3	1		1
	from.the|BAW|dy.song|SCR|ibler|TO|the|GOD|ly.book|WRIT|er			3		2	3	1			
	FROM|the|BAW|dy.song|SCR|ibler|TO|the|GOD|ly|BOOK|writ|ER		1	1		2	1	3			1
	from.the|BAW|dy|SONG.SCR|ibler|TO|the|GOD|ly|BOOK|writ|ER		1	2		1	1	2	1		1
	from|THE|baw|DY|song|SCR|ibler|TO|the|GOD|ly|BOOK.WRIT|er		1	1		2		3	1		1
	from.the|BAW|dy.song|SCR|ibler|TO|the|GOD|ly|BOOK|writ|ER		1	2		2	2	2			1
	from|THE|baw|DY|song|SCR|ibler|TO|the|GOD|ly.book|WRIT|er		1	1		3	1	3			1
	from.the|BAW|dy.song|SCR|ibler|TO|the|GOD|ly.book|WRIT.ER			4		2	2	2			1
	FROM|the|BAW|dy|SONG|scr|IBLER|to|THE|god|LY|book|WRIT|er		2			3		4			2
	from|THE|baw|DY|song|SCR|ibler|TO|the|GOD|ly|BOOK|writ|ER		2			3		4			2
	from.the|BAW|dy.song|SCR|ibler|TO|the.god|LY|book.writ|ER		2	4		4	1	3			2
	from.the|BAW|dy.song|SCR|ibler.to|THE|god|LY|book.writ|ER		2	4		4	1	3			2
Be their Works or their Fortunes, or lucky, or scurvy;	be.their|WORKS|or.their|FOR|tunes.or|LU|cky.or|SC|urvy	2		4			1				
	BE|their|WORKS|or.their|FOR|tunes.or|LU|cky.or|SC|urvy			3			2				
	be|THEIR|works|OR|their|FOR|tunes.or|LU|cky.or|SC|urvy			2		1	2	2			
	be.their|WORKS|or.their|FOR|tunes.or|LU|cky.or|SC.URVY			5				1			1
	BE|their|WORKS|or|THEIR|for|TUNES|or|LU|cky.or|SC|urvy		1	1		1	1	2			1
	BE|their|WORKS|or.their|FOR|tunes|OR|lu|CKY|or|SC|urvy		1	1		1	1	2			1
	be|THEIR|works|OR|their|FOR|tunes|OR|lu|CKY|or|SC|urvy		1			2		4			1
	be|THEIR|works|OR|their|FOR|tunes.or|LU|cky|OR.SC|urvy			2		1	1	3	1		
	BE|their|WORKS|or|THEIR|for|TUNES|or|LU|cky|OR.SC|urvy		1	1		1		3	1		1
From great Mr. Bays down to little Mr. Dy.	FROM|great|MR||BAYS|down.to|LIT|tle|MR||DY			1		1	1	1			
	from|GREAT.MR||BAYS|down.to|LIT|tle|MR||DY			2			1		1		
	from.great|MR||BAYS|down.to|LIT|tle|MR||DY			2		1	2				
	from|GREAT|mr||bays|DOWN|to|LIT|tle|MR||DY		1			2		2			1
	from.great|MR||BAYS|down.to|LIT|tle.mr|.DY		1	4		2	1	1			1
	from.great|MR||BAYS|down.to|LIT.TLE|mr.|DY		1	4		2	1	1			1
To Satyrical Dick, who has us'd us so kindly,	to.sa|TY|ri.cal|DICK|who.has|US'D|us.so|KIND|ly	2		4			1				
	TO|sa|TY|ri|CAL|dick|WHO|has|US'D|us.so|KIND|ly			1		1	1	2			
	TO|sa|TY|ri.cal|DICK|who|HAS|us'd|US|so|KIND|ly			1		1	1	2			
	TO|sa|TY|ri|CAL|dick|WHO|has|US'|d|US|so|KIND|ly					2		3			
	TO|sa|TY|ri.cal|DICK.WHO|has|US'D|us.so|KIND|ly			3			2	1			
	TO|sa|TY|ri.cal|DICK|who.has|US'D|us.so|KIND|ly			3			2	1			
	to.sa|TY|ri|CAL|dick|WHO|has|US'D|us.so|KIND|ly			2		1	2	1			
	to.sa|TY|ri.cal|DICK|who|HAS|us'd|US|so|KIND|ly			2		1	2	1			
	TO|sa|TY|ri.cal|DICK|who|HAS|us'|D|us.so|KIND|ly			2		1	2	1			
	TO|sa|TY|ri|CAL|dick|WHO|has|US'D|us|SO.KIND|ly			1		1		3	1		
	to.sa|TY|ri.cal|DICK|who|HAS|us'|D|us.so|KIND|ly			3		1	3				
	to.sa|TY|ri.cal|DICK|who.has|US'D|us.so|KIND.LY			5				1			1
	TO|sa|TY|ri.cal|DICK.WHO|has|US'D|us|SO.KIND|ly			3			1	2	1		
	TO|sa|TY|ri.cal|DICK|who.has|US'D|us.so|KIND.LY			4			1	2			1
Though I hope, Mr. Author, to ben't far behind you:	though|I|hope|MR||AU|thor|TO|ben't|FAR|be|HIND|you					2		1			
	though|I|hope|MR||AU|thor.to|BEN'T.FAR|be|HIND|you			2		1	1				
	THOUGH|i|HOPE.MR||AU|thor|TO|ben't|FAR|be|HIND|you			1		1		2	1		
	though.i|HOPE.MR||AU|thor.to|BEN'T.FAR|be|HIND|you			4			2				
	THOUGH|i|HOPE.MR||AU|thor.to|BEN'T.FAR|be|HIND|you			3			1	1	1		
And 'twere best that your Back you'd prepare for a humming,	and|TW|er.e|BEST|that.your|BACK|you'd.pre|PARE|for.a|HUM|ming			4			2				
	and|TW|er|E|best|THAT|your|BACK|you'd.pre|PARE|for.a|HUM|ming			2		1	2	1			
	and|TWE|re|BEST|that|YOUR|back|YOU'D|pre|PARE|for.a|HUM|ming			1	1	1	1	2			
	and|TWE|re|BEST|that.your|BACK|you'd.pre|PARE|for.a|HUM|ming			3	1		3				
	and|TW|er|E|best|THAT|your|BACK|you'd|PRE|pare|FOR|a|HUM|ming		1			2		3			1
	and|TWE|re|BEST.THAT|your|BACK|you'd.pre|PARE|for.a|HUM|ming			3	1		2		1		
	and|TW|er|E|best|THAT|your|BACK|you'd.pre|PARE|for|A.HUM|ming			2		1	1	2	1		
	and|TWE|re|BEST|that|YOUR|back|YOU'D|pre|PARE|for|A.HUM|ming			1	1	1		3	1		
	and|TW|er.e|BEST|that.your|BACK|you'd.pre|PARE|for.a|HUM.MING			5			1	1			1
	and|TW|er.e|BEST.THAT|your|BACK|you'd|PRE|pare|FOR|a|HUM|ming		1	2		1	1	2			1
	and|TWE|re|BEST.THAT|your|BACK|you'd|PRE|pare|FOR|a|HUM|ming		1	1	1	1		2	1		1
	and|TWE|re|BEST.THAT|your|BACK|you'd.pre|PARE|for|A.HUM|ming			3	1		1	1	2		
Oh, say not, my love, with that mortified air,	oh|SAY|not.my|LOVE|with.that|MOR|ti.fied|AIR [*Bounded]	2	1	3		2	1				
	OH|say|NOT|my|LOVE|with.that|MOR|ti|FIED|air			1		2	1				
	OH|say|NOT|my|LOVE|with|THAT.MOR|ti|FIED|air			1		2			1		
	oh|SAY|not|MY|love|WITH|that|MOR|ti|FIED|air					3		2			
	OH|say|NOT|my|LOVE|with.that|MOR|ti|FIED.AIR			2		1	1		1		
	OH|say|NOT|my|LOVE|with|THAT.MOR|ti|FIED.AIR			2		1			2		
	OH|say|NOT|my|LOVE|with|THAT|mor|TI|fied|AIR		2			3		1			1
	OH.SAY|not.my|LOVE|with.that|MOR|ti.fied|AIR		1	4		1			1		
	OH.SAY|not.my|LOVE|with.that|MOR|ti|FIED.AIR			4			1		2		
That your spring-time of pleasure is flown,	THAT|your.spr|ING.TIME|of|PLEA|sure.is|FLOWN			3			1				
	that.your|SPRING.TIME|of|PLEA|sure.is|FLOWN			3			1				
	THAT|your|SPRING|time.of|PLEA|sure.is|FLOWN			2		1	1				
	THAT|your.spring|TIME|of|PLEA|sure.is|FLOWN			2		1	1				
	that|YOUR|spring|TIME|of|PLEA|sure.is|FLOWN			1		1	1	1			
	that|YOUR|spring|TIME|of|PLEA|sure|IS|flown					2		2			
	THAT|your|SPRING.TIME|of|PLEA|sure.is|FLOWN			2			1		1		
	THAT|your|SPRING.TIME|of|PLEA|sure|IS|flown			1		1		1	1		
	THAT|your|SPRING.TIME|of|PLEA|sure|IS.FLOWN			2				1	2		
	THAT|your.spr|ING.TIME|of.plea|SURE|is.flown		1	4		2		1		1	1
	that.your|SPRING.TIME|of.plea|SURE|is.flown		1	4		2		1		1	1
Nor bid me to maids that are younger repair,	nor|BID|me.to|MAIDS|that.are|YOU|nger.re|PAIR	2		3			1				
	nor|BID|me|TO|maids|THAT|are|YOU|nger.re|PAIR			1		1	1	1			
	nor|BID|me|TO|maids|THAT|are|YOU|nger|RE|pair		1			2		2			1
	nor|BID|me|TO|maids|THAT|are|YOU|nger|RE.PAIR			1		1		2	1		1
	nor|BID|me|TO|maids|THAT|are|YOU.NGER|re|PAIR			1		1		2	1		1
	nor|BID|me.to|MAIDS.THAT|are|YOU|nger|RE|pair		1	2		1	1	1			1
For those raptures that still are thine own.	for.those|RAP|tures.that|STILL|are.thine|OWN	2		3							
	FOR|those|RAP|tures|THAT|still|ARE|thine|OWN					1		2			
	FOR|those|RAP|tures.that|STILL|are.thine|OWN			2			1	1			
	for.those|RAP|tures|THAT|still|ARE|thine|OWN			1		1	1	1			
	FOR|those|RAP|tures.that|STILL|are|THINE|own			1			1	2			
	FOR|those|RAP|tures|THAT.STILL|are|THINE|own			1				2	1		
Though April his temples may wreathe with the vine,	though|APR|il.his|TEM|ples.may|WREATHE|with.the|VINE	2		3			1				
	though|APR|il.his|TEM|ples|MAY|wreathe|WITH|the|VINE			1		1	1	2			
	though|APR|il.his|TEM|ples.may|WREATHE|with|THE|vine			2		1	2	1			
	though|APR|il|HIS|tem|PLES|may|WREATHE|with|THE|vine		1			2		3			1
	though|APR|il|HIS|tem|PLES|may|WREATHE|with|THE.VINE		1	1		1		3	1		1
Its tendrils in infancy curl'd,	its|TEN|drils.in|IN|fan.cy|CURL'D	2		2			1				
	its|TEN|drils.in|IN|fan|CY|curl'd			1		1	1	1			
	its|TEN|drils|IN|in|FAN|cy|CURL'D		1			1		1			1
	its|TEN|drils|IN.IN|fan|CY|curl'd			1		1		1	1		
	its|TEN|drils|IN.IN|fan|CY.CURL'D			2				1	2		
'Tis the ardour of August matures us the wine,	TIS|the|AR|dour.of|AU|gust.ma|TURES|us.the|WINE			3			1				
	TIS|the|AR|dour.of|AU|gust.ma|TURES|us|THE|wine			2		1	2	1			
	TIS|the|AR|dour|OF|au|GUST|ma|TURES|us.the|WINE		1	1		1	1	2			1
	TIS|the|AR|dour.of|AU|gust|MA|tures|US|the|WINE		1	1		1	1	2			1
	TIS|the|AR|dour|OF|au|GUST|ma|TURES|us|THE|wine		1			2		3			1
	TIS|the|AR|dour|OF|au|GUST|ma|TURES|us|THE.WINE		1	1		1		3	1		1
Whose life-blood enlivens the world.	whose|LIFE|blood.en|LI|vens.the|WORLD [*Bounded]	2		2		1	1				
	WHOSE|life|BLOOD|en|LI|vens.the|WORLD			1		1	1				
	WHOSE|life|BLOOD|en|LI|vens|THE|world					2		1			
	whose|LIFE.BLOOD|en|LI|vens.the|WORLD			2			1		1		
	WHOSE|life|BLOOD|en|LI|vens|THE.WORLD			1		1		1	1		
	whose|LIFE.BLOOD|en|LI|vens|THE|world			1		1		1	1		
	whose|LIFE.BLOOD|en|LI|vens|THE.WORLD			2				1	2		
Though thy form, that was fashion'd as light as a fay's,	though.thy|FORM|that.was|FASH|ion'd.as|LIGHT|as.a|FAY'S	2		4							
	THOUGH|thy|FORM|that.was|FASH|ion'd.as|LIGHT|as.a|FAY'S			3			1	1			
	though|THY|form|THAT|was|FASH|ion'd|AS|light|AS|a|FAY'S					2		3			
	though|THY|form|THAT|was|FASH|ion'd.as|LIGHT|as.a|FAY'S			2		1	2	1			
	though|THY|form|THAT|was|FASH|ion'd.as|LIGHT.AS|a|FAY'S			2		1	1	2			
	though.thy|FORM.THAT|was|FASH|ion'd|AS|light|AS|a|FAY'S			2		1	1	2			
	though|THY|form|THAT|was|FASH|ion'd.as|LIGHT|as|A|fay's			1		2	1	2			
	THOUGH|thy|FORM|that.was|FASH|ion'd|AS|light|AS|a|FAY'S			1		1	1	3			
	THOUGH|thy|FORM.THAT|was|FASH|ion'd|AS|light|AS|a|FAY'S			1		1		3	1		
	THOUGH|thy|FORM.THAT|was|FASH|ion'd.as|LIGHT|as|A|fay's			2		1	1	2	1		
Has assumed a proportion more round,	has.as|SUMED|a.pro|POR|tion.more|ROUND	2		3							
	HAS|as|SUMED|a.pro|POR|tion|MORE|round			1			1				
	has|AS|sumed|A|pro|POR|tion|MORE|round		1			1		2			1
And thy glance, that was bright as a falcon's at gaze	and.thy|GLANCE|that.was|BRIGHT|as.a|FAL|con's.at|GAZE	2		4							
	AND|thy|GLANCE|that.was|BRIGHT|as.a|FAL|con's.at|GAZE			3			1	1			
	and|THY|glance|THAT|was|BRIGHT|as.a|FAL|con's|AT|gaze			1		2	1	1			
	AND|thy|GLANCE|that|WAS|bright|AS|a|FAL|con's|AT|gaze					2		3			
	and.thy|GLANCE.THAT|was|BRIGHT|as.a|FAL|con's|AT|gaze			3		1	2				
	and.thy|GLANCE|that.was|BRIGHT|as.a|FAL|con's|AT|gaze			3		1	2				
	and|THY|glance|THAT|was|BRIGHT|as.a|FAL|con's.at|GAZE			2		1	2	1			
	AND|thy|GLANCE|that.was|BRIGHT|as.a|FAL|con's|AT|gaze			2		1	2	1			
	AND|thy|GLANCE|that|WAS|bright|AS|a|FAL|con's.at|GAZE			1		1	1	3			
	AND|thy|GLANCE.THAT|was|BRIGHT|as.a|FAL|con's|AT|gaze			2		1	1	1	1		
	and|THY|glance|THAT|was|BRIGHT|as.a|FAL|con's|AT.GAZE			2		1	1	1	1		
	AND|thy|GLANCE|that|WAS|bright|AS|a|FAL|con's|AT.GAZE			1		1		3	1		
	and|THY|glance|THAT|was|BRIGHT|as.a|FAL.CON'S|at|GAZE			2		1	1	2			1
	and.thy|GLANCE.THAT|was|BRIGHT|as|A|fal|CON'S|at|GAZE		1	2		1	1	2			1
Looks soberly now on the ground,	looks|SOB|erl.y|NOW|on.the|GROUND	2		2		1	1				
	looks|SOB|erl|Y|now|ON|the|GROUND					2		2			
	LOOKS.SOB|erl.y|NOW|on.the|GROUND			3					1		
	looks|SOB|erl.y|NOW|on|THE|ground			1		2	1	1			
	LOOKS.SOB|erl|Y|now|ON|the|GROUND			1		1		2	1		
	LOOKS|sob|ERL|y|NOW|on.the|GROUND		1	1		1	1	1			1
	LOOKS.SOB|erl.y|NOW|on|THE|ground			2		1	1	1	1		
Enough, after absence to meet me again,	en|OUGH|af.ter|AB|sence.to|MEET|me.ag|AIN	2	1	3		1	1				
	en|OUGH.AF|ter|AB|sence|TO|meet|ME|ag|AIN			1		1		2	1		
	en.ough|AF|ter|AB|sence.to|MEET|me.ag|AIN		1	3		1	1				
	en|OUGH.AF|ter|AB|sence.to|MEET|me.ag|AIN			3			2		1		
	en|OUGH.AF|ter|AB|sence.to|MEET.ME|ag|AIN			3			1	1	1		
	en|OUGH|af.ter|AB|sence|TO|meet|ME|ag|AIN		1	1		2	1	2			
	en.ough|AF|ter|AB|sence|TO|meet|ME|ag|AIN		1	1		2	1	2			
	EN|ough|AF|ter|AB|sence|TO|meet|ME|ag|AIN		1			2		3			1
	EN|ough|AF|ter|AB|sence.to|MEET|me.ag|AIN		1	2		1	2	1			1
	EN|ough|AF|ter|AB|sence.to|MEET.ME|ag|AIN		1	2		1	1	2			1
	en|OUGH.AF|ter|AB|sence.to|MEET|me|AG|ain		1	2		1	1	1	1		1
	en|OUGH|af.ter|AB|sence.to|MEET|me|AG|ain		2	2		2	2	1			1
	en.ough|AF|ter|AB|sence.to|MEET|me|AG|ain		2	2		2	2	1			1
	EN|ough|AF|ter|AB|sence.to|MEET|me|AG|ain		2	1		2	1	2			2
Thy steps still with ecstasy move;	thy|STEPS|still.with|EC|sta.sy|MOVE	2		2		1	1				
	thy.steps|STILL|with|EC|sta.sy|MOVE			2		1	1				
	THY|steps|STILL|with|EC|sta.sy|MOVE			1		1	1	1			
	THY|steps|STILL|with|EC|sta|SY|move					2		2			
