			[*strength.w=>-p]	[*footmin-w-resolution]	[*footmin-f-resolution]	[*stress.s=>-u]	[*stress.w=>-p]
O garment not golden but gilded,	o|GAR|ment.not*|GOLD|en.but*|GILD|ed	2			2		
	o|GAR|ment|NOT.GOLD*|en.but*|GILD|ed				2		
	o|GAR|ment.not*|GOLD.EN*|but|GILD|ed			1	1	1	
	o|GAR.MENT*|not|GOLD|en.but*|GILD|ed			1	1	1	
	o|GAR|ment|NOT|gold*|EN*|but|GILD|ed		1			1	1
	o|GAR.MENT*|not|GOLD.EN*|but|GILD|ed			2		2	
O garden where all men may dwell,	o|GAR|den.where*|ALL|men.may*|DWELL [*Bounded]	2			2		1
	o|GAR|den|WHERE|all|MEN|may|DWELL						
O tower not of ivory, but builded	o|TOWER|not.of|IVO|ry.but*|BUILD|ed	2			1		
	o|TOW|er|NOT|of|IV|or|Y*|but|BUILD|ed					1	
	o|TOWER|not.of|IV|or|Y*|but|BUILD|ed					1	
	o|TOW|er|NOT|of|IVO|ry.but*|BUILD|ed				1		
By hands that reach heaven from hell;	by|HANDS|that.reach*|HEAV|en.from*|HELL [*Bounded]	2			2		1
	by|HANDS|that|REACH.HEAVEN*|from|HELL				1		
	BY*|hands*|THAT|reach*|HEAVEN|from|HELL					1	2
	by|HANDS|that|REACH|heaven*|FROM*|hell*					1	2
	by|HANDS|that|REACH|heav*|EN*|from|HELL		1			1	1
O mystical rose of the mire,	o|MYS|ti.cal*|ROSE|of.the|MIRE	2		1			
	o|MYS.TI*|cal|ROSE|of.the|MIRE					1	
	o|MYS.TI*|cal|ROSE|of.the|MI|re					1	
	o|MYS|ti.cal*|ROSE|of.the|MI|re			1			
O house not of gold but of gain,	o|HOUSE|not.of|GOLD|but.of|GAIN	2					
O house of unquenchable fire,	o|HOUSE|of|UNQUENCHABLE|fire*						1
	o|HOUSE|of|UNQUENCHABLE.FI*|re				1		
	o|HOUSE|of|UNQUENCHABLE.FIRE*				1		
Our Lady of Pain!	our|LA|dy.of*|PAIN	2			1		
	our|LA|dy|OF*|pain*					1	1
	our|LA.DY*|of|PAIN			1		1	
O lips full of lust and of laughter,	o|LIPS.FULL*|of|LUST|and.of|LAUGH|ter				1		
	O*|lips*|FULL|of|LUST|and.of|LAUGH|ter					1	1
Curled snakes that are fed from my breast,	curled*|SNAKES|that.are|FED|from.my|BREAST	2					1
	CURLED|snakes*|THAT|are|FED|from.my|BREAST						1
	CURLED.SNAKES*|that.are|FED|from.my|BREAST				1		
Bite hard, lest remembrance come after	bite*|HARD|lest.re*|MEM|brance.come*|AF|ter [*Bounded]	2			2		2
	BITE|hard*|LEST*|re|MEM|brance|COME.AF*|ter				1	1	1
	bite*|HARD|lest.re*|MEM|brance|COME.AF*|ter				2		1
	BITE.HARD*|lest.re*|MEM|brance|COME.AF*|ter				3		
	BITE.HARD*|lest|RE.MEM*|brance|COME.AF*|ter			1	2	1	
	BITE|hard*|LEST*|re|MEM.BRANCE*|come*|AF|ter			1		2	2
	bite*|HARD|lest.re*|MEM.BRANCE*|come*|AF|ter			1	1	1	2
	BITE|hard*|LEST*|re|MEM|brance|COME|af*|TER*		1			2	2
	BITE|hard*|LEST*|re|MEM|brance|COME|af.ter*		1	1		1	2
	bite*|HARD|lest.re*|MEM|brance|COME|af*|TER*		1		1	1	2
	BITE.HARD*|lest.re*|MEM|brance|COME|af*|TER*		1		2	1	1
	bite*|HARD|lest.re*|MEM|brance|COME|af.ter*		1	1	1		2
	BITE.HARD*|lest.re*|MEM|brance|COME|af.ter*		1	1	2		1
	BITE.HARD*|lest|RE.MEM*|brance|COME|af*|TER*		1	1	1	2	1
	BITE.HARD*|lest|RE.MEM*|brance|COME|af.ter*		1	2	1	1	1
And press with new lips where you pressed.	and|PRESS|with|NEW|lips*|WHERE|you|PRESSED						1
	and|PRESS|with|NEW.LIPS*|where.you|PRESSED				1		
For my heart too springs up at the pressure,	for.my|HEART|too*|SPRINGS|up|AT|the|PRES|sure						1
	for.my|HEART.TOO*|spr|INGS|up|AT|the|PRES|sure				1		
Mine eyelids too moisten and burn;	mine|EYE|lids.too*|MOIST|en.and*|BURN	2			2		1
	mine|EYE|lids*|TOO.MOIST*|en.and*|BURN				2		1
	mine|EYE.LIDS*|too*|MOIST|en.and*|BURN			1	1		1
	mine|EYE|lids*|TOO.MOIST*|en|AND*|burn*				1	1	2
	mine|EYE|lids.too*|MOIST|en|AND*|burn*				1	1	2
	mine|EYE.LIDS*|too*|MOIST|en|AND*|burn*			1		1	2
	mine|EYE|lids.too*|MOIST.EN*|and|BURN			1	1	1	1
	mine|EYE.LIDS*|too*|MOIST.EN*|and|BURN			2		1	1
	mine|EYE|lids*|TOO|moist*|EN*|and|BURN		1			1	2
Ah, feed me and fill me with pleasure,	ah|FEED|me.and|FILL|me.with|PLEA|sure	2					
Ere pain come in turn.	ere*|PAIN|come.in*|TURN [*Bounded]	2			1		2
	ERE|pain*|COME|in|TURN						1
In yesterday's reach and to-morrow's,	in|YES.TER*|day's|REACH|and.to|MORROW'S					1	
	in|YES|ter|DAY'S.REACH*|and.to|MORROW'S				1		
	in|YES|ter.day's*|REACH|and.to|MORROW'S			1			
Out of sight though they lie of to-day,	out.of|SIGHT|though.they|LIE|of.to|DAY	2					
There have been and there yet shall be sorrows	there.have|BEEN|and.there|YET|shall.be|SOR|rows	2					
That smite not and bite not in play.	that|SMITE|not.and|BITE|not.in|PLAY	2					
The life and the love thou despisest,	the|LIFE|and.the|LOVE|thou|DESPISEST						
These hurt us indeed, and in vain,	these|HURT|us.in*|DEED|and.in|VAIN	2			1		
	these|HURT|us|IN.DEED*|and.in|VAIN			1		1	
	THESE*|hurt*|US*|in|DEED|and.in|VAIN					2	1
O wise among women, and wisest,	o|WISE|am.ong*|WOM|en.and*|WIS|est	2	1	1	1		1
	o|WISE|am|ONG.WOM*|en.and*|WIS|est				2		
	o|WISE|am|ONG|wom*|EN*|and|WIS|est		1			1	1
Our Lady of Pain.	our|LA|dy.of*|PAIN	2			1		
	our|LA|dy|OF*|pain*					1	1
	our|LA.DY*|of|PAIN			1		1	
Who gave thee thy wisdom? what stories	who|GAVE|thee.thy|WIS|dom.what*|STO|ries	2			1		
	who|GAVE|thee.thy|WIS|dom|WHAT.STO*|ries				1		
	who|GAVE|thee.thy|WIS.DOM*|what|STO|ries			1		1	
	who|GAVE|thee.thy|WIS|dom|WHAT|sto*|RIES*		1			1	1
	who|GAVE|thee.thy|WIS|dom|WHAT|sto.ries*		1	1			1
That stung thee, what visions that smote?	that|STUNG|thee.what|VI|sions.that*|SMOTE	2			1		
	that|STUNG|thee.what|VI|sions|THAT|smote*						1
	that|STUNG|thee.what|VI.SIONS*|that|SMOTE					1	
	that|STUNG|thee.what|VI|sions|THAT.SMOTE*				1		
Wert thou pure and a maiden, Dolores,	wert.thou|PURE|and.a|MAID|en.do*|LO|res	2			1		
	wert.thou|PURE|and.a|MAID|en|DO.LO*|res			1		1	
	wert.thou|PURE|and.a|MAID.EN*|do|LO|res			1		1	
	wert.thou|PURE|and|A*|maid*|EN*|do|LO|res		1			2	1
	wert.thou|PURE|and.a|MAID|en|DO*|lo*|RES*		1			2	1
When desire took thee first by the throat?	WHEN|de|SI|re|TOOK|thee|FIRST|by.the|THROAT						
What bud was the shell of a blossom	what|BUD|was.the|SHELL|of.a|BLOS|som	2					
That all men may smell to and pluck?	THAT|all|MEN|may|SMELL|to.and|PLUCK						
	that.all|MEN|may|SMELL|to.and|PLUCK						
What milk fed thee first at what bosom?	WHAT|milk*|FED|thee|FIRST|at.what|BO|som						1
	what|MILK.FED*|thee|FIRST|at.what|BO|som				1		
What sins gave thee suck?	what|SINS|gave.thee*|SUCK [*Bounded]	2			1		1
	WHAT|sins*|GAVE|thee|SUCK						1
	what|SINS.GAVE*|thee|SUCK				1		
We shift and bedeck and bedrape us,	we|SHIFT|and.be*|DECK|and|BEDRAPE|us				1		
	WE|shift*|AND*|be|DECK|and|BEDRAPE|us					1	1
	we|SHIFT|and|BE.DECK*|and|BEDRAPE|us			1		1	
Thou art noble and nude and antique;	thou.art|NO|ble.and*|NUDE|and.an*|TIQUE	2			2		
	thou.art|NO|ble|AND*|nude*|AND*|an|TIQUE					2	1
	thou.art|NO|ble.and*|NUDE|and|AN.TIQUE*			1	1	1	
	thou.art|NO.BLE*|and|NUDE|and.an*|TIQUE			1	1	1	
	thou.art|NO.BLE*|and|NUDE|and|AN.TIQUE*			2		2	
	thou|ART|no*|BLE*|and|NUDE|and.an*|TIQUE		1		1	1	1
	thou.art|NO|ble.and*|NUDE|and|AN*|tique*		1		1	1	1
Libitina thy mother, Priapus	LIBITINA|thy|MOTH|er|PRIAPUS						
Thy father, a Tuscan and Greek.	thy|FA|ther.a*|TUS|can.and*|GREEK	2			2		
	thy|FA.THER*|a|TUS.CAN*|and|GREEK					2	
	thy|FA|ther.a*|TUS.CAN*|and|GREEK				1	1	
	thy|FA.THER*|a|TUS|can.and*|GREEK				1	1	
We play with light loves in the portal,	we|PLAY|with|LIGHT|loves*|IN|the|POR|tal						1
	we|PLAY|with|LIGHT.LOVES*|in.the|POR|tal				1		
And wince and relent and refrain;	and|WINCE|and.re*|LENT|and.re*|FRAIN	2			2		
	and|WINCE|and|RE.LENT*|and.re*|FRAIN			1	1	1	
	and|WINCE|and.re*|LENT|and|RE.FRAIN*			1	1	1	
	AND*|wince*|AND*|re|LENT|and.re*|FRAIN				1	2	1
	and|WINCE|and|RE.LENT*|and|RE.FRAIN*			2		2	
	and|WINCE|and|RE*|lent*|AND*|re|FRAIN		1			2	1
	and|WINCE|and.re*|LENT|and|RE*|frain*		1		1	1	1
	AND*|wince*|AND*|re|LENT|and|RE.FRAIN*			1		3	1
Loves die, and we know thee immortal,	loves*|DIE|and.we|KNOW|thee.im*|MOR|tal	2			1		1
	LOVES.DIE*|and.we|KNOW|thee.im*|MOR|tal				2		
	loves*|DIE|and|WE|know*|THEE*|im|MOR|tal					1	2
	loves*|DIE|and.we|KNOW|thee|IM.MOR*|tal			1		1	1
	LOVES.DIE*|and.we|KNOW|thee|IM.MOR*|tal			1	1	1	
Our Lady of Pain.	our|LA|dy.of*|PAIN	2			1		
	our|LA|dy|OF*|pain*					1	1
	our|LA.DY*|of|PAIN			1		1	
Fruits fail and love dies and time ranges;	fruits*|FAIL|and|LOVE.DIES*|and|TIME.RAN*|ges				2		1
	FRUITS.FAIL*|and|LOVE.DIES*|and|TIME.RAN*|ges				3		
	fruits*|FAIL|and|LOVE|dies*|AND*|time*|RAN|ges					1	3
	FRUITS|fail*|AND*|love*|DIES|and|TIME.RAN*|ges				1	1	2
	FRUITS.FAIL*|and|LOVE|dies*|AND*|time*|RAN|ges				1	1	2
	fruits*|FAIL|and|LOVE.DIES*|and|TIME|ran*|GES*		1		1	1	2
	FRUITS.FAIL*|and|LOVE.DIES*|and|TIME|ran*|GES*		1		2	1	1
	fruits*|FAIL|and|LOVE.DIES*|and|TIME|ran.ges*		1	1	1		2
	FRUITS.FAIL*|and|LOVE.DIES*|and|TIME|ran.ges*		1	1	2		1
Thou art fed with perpetual breath,	thou.art|FED|with.per*|PET|u.al*|BREATH [*Bounded]	2		1	1		
	thou.art|FED|with.per*|PET|ual|BREATH				1		
	thou|ART|fed*|WITH*|per|PET|ual|BREATH					1	1
	thou.art|FED|with|PER.PET*|ual|BREATH			1		1	
And alive after infinite changes,	and.al*|IVE|af.ter*|IN|fi.nite*|CHA|nges	2	1	2	1		1
	AND*|al|IVE.AF*|ter|IN|fi.nite*|CHA|nges			1	1	1	
	and.al*|IVE.AF*|ter|IN|fi.nite*|CHA|nges			1	2		
	AND*|al|IVE.AF*|ter|IN|fi|NITE.CHA*|nges				2	2	
	and.al*|IVE.AF*|ter|IN|fi|NITE.CHA*|nges				3	1	
	and|AL*|ive*|AF|ter|IN|fi.nite*|CHA|nges		1	1		1	1
	and|AL*|ive*|AF|ter|IN|fi|NITE.CHA*|nges		1		1	2	1
	AND*|al|IVE.AF*|ter|IN|fi|NITE*|cha*|NGES*		1		1	3	1
	and.al*|IVE.AF*|ter|IN|fi|NITE*|cha*|NGES*		1		2	2	1
	and.al*|IVE|af.ter*|IN|fi|NITE.CHA*|nges		1	1	2	1	1
	AND*|al|IVE|af*|TER*|in*|FI*|nite|CHA|nges		2			3	2
	and|AL*|ive*|AF|ter|IN|fi|NITE*|cha*|NGES*		2			3	2
	and.al*|IVE|af.ter*|IN|fi|NITE*|cha*|NGES*		2	1	1	2	2
And fresh from the kisses of death;	and|FRESH|from.the|KISS|es.of*|DEATH	2			1		
	and|FRESH|from.the|KISS.ES*|of|DEATH					1	
Of languors rekindled and rallied,	of|LANGUORS|rek|IND|led.and*|RAL|lied				1		
	of|LANGUORS|rek|IND.LED*|and|RAL|lied			1		1	
	of|LANGUORS|rek|IND|led|AND*|ral.lied*		1			1	1
Of barren delights and unclean,	of|BAR|ren.de*|LIGHTS|and.un*|CLEAN	2			2		
	of|BAR.REN*|de|LIGHTS|and.un*|CLEAN				1	1	
	of|BAR.REN*|de|LIGHTS|and|UN.CLEAN*			1		2	
	of|BAR|ren.de*|LIGHTS|and|UN.CLEAN*			1	1	1	
	of|BAR|ren|DE*|lights*|AND*|un|CLEAN		1			2	1
	of|BAR.REN*|de|LIGHTS|and|UN*|clean*		1			2	1
	of|BAR|ren.de*|LIGHTS|and|UN*|clean*		1		1	1	1
Things monstrous and fruitless, a pallid	things*|MON|strous.and*|FRUIT|less.a*|PAL|lid	2			2		1
	THINGS.MON*|strous.and*|FRUIT|less.a*|PAL|lid				3		
	things*|MON|strous.and*|FRUIT.LESS*|a|PAL|lid			1	1	1	1
	things*|MON.STROUS*|and|FRUIT|less.a*|PAL|lid			1	1	1	1
	THINGS.MON*|strous.and*|FRUIT.LESS*|a|PAL|lid			1	2	1	
	THINGS|mon*|STROUS*|and|FRUIT|less.a*|PAL|lid		1		1	1	1
	things*|MON.STROUS*|and|FRUIT.LESS*|a|PAL|lid			2		2	1
	things*|MON|strous|AND*|fruit*|LESS*|a|PAL|lid		1			2	2
	THINGS|mon*|STROUS*|and|FRUIT.LESS*|a|PAL|lid		1	1		2	1
	things*|MON|strous.and*|FRUIT|less|A*|pal.lid*		1		1	1	2
	THINGS.MON*|strous.and*|FRUIT|less|A*|pal.lid*		1		2	1	1
And poisonous queen.	and|PO|is.onous*|QUEEN	2		1			
	and|PO|is|ONOUS*|queen*					1	1
	and|PO|is|ONOUS.QUEEN*				1	1	
Could you hurt me, sweet lips, though I hurt you?	COULD|you|HURT|me|SWEET.LIPS*|though.i|HURT|you				1		
	could.you|HURT|me|SWEET.LIPS*|though.i|HURT|you				1		
	COULD|you|HURT|me|SWEET|lips*|THOUGH*|i|HURT|you					1	1
	could.you|HURT|me|SWEET|lips*|THOUGH*|i|HURT|you					1	1
Men touch them, and change in a trice	men*|TOUCH|them.and|CHANGE|in.a|TRICE	2					1
	MEN.TOUCH*|them.and|CHANGE|in.a|TRICE				1		
The lilies and languors of virtue	the|LIL.IES*|and|LANGUORS|of|VIR|tue					1	
	the|LIL|ies.and*|LANGUORS|of|VIR|tue				1		
For the raptures and roses of vice;	for.the|RAP|tures.and*|ROS|es.of*|VICE	2			2		
	for.the|RAP|tures.and*|ROS|es|OF*|vice*				1	1	1
	for.the|RAP|tures.and*|ROS.ES*|of|VICE			1	1	1	
	for.the|RAP.TURES*|and|ROS|es.of*|VICE			1	1	1	
	for.the|RAP.TURES*|and|ROS|es|OF*|vice*			1		2	1
	for.the|RAP.TURES*|and|ROS.ES*|of|VICE			2		2	
	for.the|RAP|tures|AND*|ros*|ES*|of|VICE		1			2	1
Those lie where thy foot on the floor is,	those|LIE|where.thy|FOOT|on.the|FLOOR|is	2					
These crown and caress thee and chain,	these|CROWN|and.ca*|RESS|thee.and|CHAIN	2			1		
	these|CROWN|and|CA.RESS*|thee.and|CHAIN			1		1	
	THESE*|crown*|AND*|ca|RESS|thee.and|CHAIN					2	1
O splendid and sterile Dolores,	o|SPLEN|did.and*|STER|ile.do*|LO|res	2			2		
	o|SPLEN|did.and*|STER.ILE*|do|LO|res				1	1	
	o|SPLEN.DID*|and|STER.ILE*|do|LO|res			1		2	
	o|SPLEN.DID*|and|STER|ile.do*|LO|res			1	1	1	
	o|SPLEN|did|AND*|ster*|ILE*|do|LO|res		1			2	1
Our Lady of Pain.	our|LA|dy.of*|PAIN	2			1		
	our|LA|dy|OF*|pain*					1	1
	our|LA.DY*|of|PAIN			1		1	
There are sins it may be to discover,	there.are|SINS|it.may|BE|to.dis*|COV|er	2			1		
	there.are|SINS|it|MAY*|be|TO*|dis|COV|er					2	
	there.are|SINS|it.may|BE|to|DIS.COV*|er			1		1	
	there.are|SINS|it.may|BE|to|DIS*|cov.er*		1			1	1
There are deeds it may be to delight.	there.are|DEEDS|it.may|BE|to.de*|LIGHT	2			1		
	there.are|DEEDS|it|MAY*|be|TO*|de|LIGHT					2	
	there.are|DEEDS|it.may|BE|to|DE.LIGHT*			1		1	
	there.are|DEEDS|it.may|BE|to|DE*|light*		1			1	1
What new work wilt thou find for thy lover,	what|NEW|work*|WILT|thou|FIND|for.thy|LO|ver						1
	WHAT|new*|WORK|wilt.thou|FIND|for.thy|LO|ver						1
	what|NEW.WORK*|wilt.thou|FIND|for.thy|LO|ver				1		
What new passions for daytime or night?	WHAT|new*|PAS.SIONS*|for|DAY.TIME*|or|NIGHT			1		1	1
	WHAT|new*|PAS|sions.for*|DAY.TIME*|or|NIGHT			1	1		1
	what|NEW.PAS*|sions.for*|DAY.TIME*|or|NIGHT			1	2		
	WHAT|new*|PAS.SIONS*|for|DAY|time.or*|NIGHT				1	1	2
	WHAT|new*|PAS|sions.for*|DAY|time.or*|NIGHT				2		2
	WHAT|new*|PAS|sions|FOR*|day*|TIME|or|NIGHT		1			1	2
	what|NEW.PAS*|sions.for*|DAY|time.or*|NIGHT				3		1
	what|NEW.PAS*|sions|FOR*|day*|TIME|or|NIGHT		1		1	1	1
	WHAT|new*|PAS.SIONS*|for|DAY|time*|OR*|night*					2	3
	WHAT|new*|PAS|sions.for*|DAY|time*|OR*|night*				1	1	3
What spells that they know not a word of	what|SPELLS|that.they|KNOW|not.a|WORD|of	2					
Whose lives are as leaves overblown?	whose|LIVES|are.as|LEAVES|ove.rbl*|OWN	2	1	1			1
	whose|LIVES|are.as|LEAVES.OVE*|rbl|OWN				1		
	whose|LIVES|are|AS*|leaves*|OVE|rbl|OWN					1	1
What tortures undreamt of, unheard of,	what|TOR|tures|UNDREAMT|of.un*|HEARD|of				1		
	what|TOR|tures|UNDREAMT|of|UN.HEARD*|of			1		1	
	what|TOR|tures|UNDREAMT|of|UN*|heard*|OF*		1			2	1
Unwritten, unknown?	un|WRIT|ten.un*|KNOWN	2			1		
	un|WRIT.TEN*|un|KNOWN					1	
Ah beautiful passionate body	ah|BEAU|ti.ful*|PAS|sion.ate*|BO|dy	2		2			
	ah|BEAU|ti.ful*|PAS.SION*|ate|BO|dy			1		1	
	ah|BEAU|ti|FUL.PAS*|sion|ATE.BO*|dy				2	2	
	ah|BEAU|ti|FUL*|pas*|SION*|ate|BO|dy		1			2	1
	AH|beau*|TI*|ful|PAS.SION*|ate|BO|dy		1			2	1
That never has ached with a heart!	that|NEV|er.has*|ACHED|with.a|HEART	2			1		
	that|NEV.ER*|has|ACHED|with.a|HEART					1	
	that|NEV|er|HAS.ACHED*|with.a|HEART				1		
On thy mouth though the kisses are bloody,	on.thy|MOUTH|though.the|KISS|es.are*|BLO|ody	2			1		
	on.thy|MOUTH|though.the|KISS.ES*|are|BLO|ody					1	
Though they sting till it shudder and smart,	though.they|STING|till.it|SHUD|der.and*|SMART	2			1		
	though.they|STING|till.it|SHUD.DER*|and|SMART					1	
More kind than the love we adore is,	more|KIND|than.the|LOVE|we.ad*|ORE|is	2			1		
	more|KIND|than.the|LOVE.WE*|ad|ORE|is				1		
	more|KIND|than|THE*|love*|WE|ad|ORE|is					1	1
	more|KIND|than.the|LOVE|we|AD.ORE*|is			1		1	
They hurt not the heart or the brain,	they|HURT|not.the|HEART|or.the|BRAIN	2					
O bitter and tender Dolores,	o|BIT|ter.and*|TEN|der.do*|LO|res	2			2		
	o|BIT.TER*|and|TEN|der.do*|LO|res				1	1	
	o|BIT.TER*|and|TEN|der|DO.LO*|res			1		2	
	o|BIT.TER*|and|TEN.DER*|do|LO|res			1		2	
	o|BIT|ter.and*|TEN|der|DO.LO*|res			1	1	1	
	o|BIT|ter.and*|TEN.DER*|do|LO|res			1	1	1	
	o|BIT|ter|AND*|ten*|DER*|do|LO|res		1			2	1
Our Lady of Pain.	our|LA|dy.of*|PAIN	2			1		
	our|LA|dy|OF*|pain*					1	1
	our|LA.DY*|of|PAIN			1		1	
As our kisses relax and redouble,	as.our|KISS|es.re*|LAX|and.re*|DOU|ble	2			2		
	as.our|KISS.ES*|re|LAX|and.re*|DOU|ble				1	1	
	as.our|KISS.ES*|re|LAX|and|RE.DOU*|ble			1		2	
	as.our|KISS|es.re*|LAX|and|RE.DOU*|ble			1	1	1	
	as.our|KISS|es|RE*|lax*|AND*|re|DOU|ble		1			2	1
	as.our|KISS.ES*|re|LAX|and|RE*|dou.ble*		1			2	1
	as.our|KISS|es.re*|LAX|and|RE*|dou.ble*		1		1	1	1
From the lips and the foam and the fangs	from.the|LIPS|and.the|FOAM|and.the|FANGS	2					
Shall no new sin be born for men's trouble,	shall|NO|new*|SIN|be|BORN|for|MEN'S.TROU*|ble				1		1
	shall|NO|new*|SIN|be|BORN|for|MEN'S|trou.ble*		1				2
	SHALL|no*|NEW|sin*|BE|born*|FOR*|men's*|TROU|ble					1	4
No dream of impossible pangs?	no*|DREAM|of.im*|POS|si.ble*|PANGS	2		1	1		1
	NO|dream*|OF*|im|POS.SI*|ble|PANGS					2	1
	NO|dream*|OF*|im|POS|si.ble*|PANGS			1		1	1
	no*|DREAM|of.im*|POS.SI*|ble|PANGS				1	1	1
	NO.DREAM*|of.im*|POS.SI*|ble|PANGS				2	1	
	NO.DREAM*|of.im*|POS|si.ble*|PANGS			1	2		
	NO.DREAM*|of|IM.POS*|si.ble*|PANGS			2	1	1	
With the sweet of the sins of old ages	with.the|SWEET|of.the|SINS|of.old*|AG|es [*Bounded]	2			1		1
	with.the|SWEET|of.the|SINS|of|OLD.AG*|es				1		
	with.the|SWEET|of.the|SINS|of|OLD|ag*|ES*		1			1	1
	with.the|SWEET|of.the|SINS|of|OLD|ag.es*		1	1			1
	with.the|SWEET|of|THE*|sins*|OF*|old*|AG|es					2	2
Wilt thou satiate thy soul as of yore?	WILT|thou|SATIATE|thy|SOUL|as|OF*|yore					1	
	WILT|thou|SATIATE|thy|SOUL|as.of|YORE*					1	
	wilt.thou|SATIATE|thy|SOUL|as|OF*|yore					1	
	wilt.thou|SATIATE|thy|SOUL|as.of|YORE*					1	
Too sweet is the rind, say the sages,	TOO|sweet*|IS|the|RIND.SAY*|the|SAG|es				1		1
	too*|SWEET|is.the|RIND.SAY*|the|SAG|es				1		1
	TOO.SWEET*|is.the|RIND.SAY*|the|SAG|es				2		
	too*|SWEET|is|THE*|rind*|SAY|the|SAG|es					1	2
Too bitter the core.	too*|BIT|ter.the*|CORE	2			1		1
	too*|BIT.TER*|the|CORE					1	1
	TOO.BIT*|ter.the*|CORE				2		
Hast thou told all thy secrets the last time,	hast.thou|TOLD|all.thy|SE|crets.the*|LAST|time*	2			1		1
	HAST|thou|TOLD|all.thy|SE|crets|THE*|last*|TIME					1	1
	hast.thou|TOLD|all.thy|SE|crets|THE*|last*|TIME					1	1
	HAST|thou|TOLD|all.thy|SE|crets.the*|LAST|time*				1		1
	HAST|thou|TOLD|all.thy|SE|crets.the*|LAST.TIME*				2		
	hast.thou|TOLD|all.thy|SE|crets.the*|LAST.TIME*				2		
	HAST|thou|TOLD|all.thy|SE.CRETS*|the|LAST.TIME*			1	1	1	
	hast.thou|TOLD|all.thy|SE.CRETS*|the|LAST.TIME*			1	1	1	
And bared all thy beauties to one?	and|BARED|all.thy|BEAU|ties.to*|ONE* [*Bounded]	2			1	1	
	and|BARED|all.thy|BEAU|ties|TO*|one					1	
Ah, where shall we go then for pastime,	ah|WHERE|shall.we|GO|then.for|PAS|time* [*Bounded]	2					1
	AH|where|SHALL|we|GO|then.for|PAS.TIME						
	ah|WHERE|shall.we|GO|then.for|PAS.TIME						
	ah.where|SHALL|we|GO|then.for|PAS.TIME						
If the worst that can be has been done?	if.the|WORST|that.can|BE|has.been|DONE	2					
	if.the|WORST|that.can|BE|has|BEEN|done						
How sweet 'tis to rove at the close of the day,	how|SWEET.TIS*|to|ROVE|at.the|CLOSE|of.the|DAY				1		
	HOW*|sweet*|TIS|to|ROVE|at.the|CLOSE|of.the|DAY					1	1
O'er daisy-clad meads, by a soft murm'ring rill,	o'er|DAI|sy|CLAD.MEADS*|by.a|SOFT|murm'ring*|RILL				1		1
	o'er|DAI|sy|CLAD|meads*|BY*|a|SOFT|murm'ring*|RILL					1	2
When the thrush from the brake pours his evening love lay,	WHEN|the|THRUSH|from.the|BRAKE.POURS*|his|EVE|ning|LOVE|lay*				1		1
	when.the|THRUSH|from.the|BRAKE.POURS*|his|EVE|ning|LOVE|lay*				1		1
	WHEN|the|THRUSH|from.the|BRAKE.POURS*|his|EVE|ning|LOVE.LAY*				2		
	when.the|THRUSH|from.the|BRAKE.POURS*|his|EVE|ning|LOVE.LAY*				2		
	WHEN|the|THRUSH|from|THE*|brake*|POURS|his|EVE|ning|LOVE|lay*					1	2
	when.the|THRUSH|from|THE*|brake*|POURS|his|EVE|ning|LOVE|lay*					1	2
And Sol's parting beams tinge the furze-cover'd hill;	and|SOL'S.PART*|ing|BEAMS.TINGE*|the|FURZE.COV*|er'd|HILL				3		
	and|SOL'S.PART*|ing|BEAMS|tinge*|THE*|furze*|COV|er'd|HILL				1	1	2
	AND*|sol's*|PART|ing|BEAMS.TINGE*|the|FURZE.COV*|er'd|HILL				2	1	1
	and|SOL'S.PART*|ing|BEAMS.TINGE*|the|FURZE|cov.er'd*|HILL		1		2		1
	AND*|sol's*|PART|ing|BEAMS|tinge*|THE*|furze*|COV|er'd|HILL					2	3
	AND*|sol's*|PART|ing|BEAMS.TINGE*|the|FURZE|cov.er'd*|HILL		1		1	1	2
	and|SOL'S|part.ing*|BEAMS.TINGE*|the|FURZE.COV*|er'd|HILL		1	1	2		1
	and|SOL'S|part.ing*|BEAMS|tinge*|THE*|furze*|COV|er'd|HILL		1	1		1	3
	and|SOL'S|part*|ING*|beams*|TINGE|the|FURZE|cov.er'd*|HILL		2			1	3
	and|SOL'S|part.ing*|BEAMS.TINGE*|the|FURZE|cov.er'd*|HILL		2	1	1		2
When the rustic's loud laugh tells a heart void of care,	WHEN|the|RUSTIC'S|loud*|LAUGH.TELLS*|a|HEART.VOID*|of|CARE				2		1
	WHEN|the|RUSTIC'S|loud.laugh*|TELLS|a|HEART.VOID*|of|CARE				2		1
	WHEN|the|RUSTIC'S.LOUD*|laugh*|TELLS|a|HEART.VOID*|of|CARE				2		1
	when.the|RUSTIC'S|loud*|LAUGH.TELLS*|a|HEART.VOID*|of|CARE				2		1
	when.the|RUSTIC'S|loud.laugh*|TELLS|a|HEART.VOID*|of|CARE				2		1
	when.the|RUSTIC'S.LOUD*|laugh*|TELLS|a|HEART.VOID*|of|CARE				2		1
	WHEN|the|RUSTIC'S|loud*|LAUGH|tells*|A*|heart*|VOID|of|CARE					1	3
	when.the|RUSTIC'S|loud*|LAUGH|tells*|A*|heart*|VOID|of|CARE					1	3
	when|THE*|rustic's*|LOUD|laugh*|TELLS|a|HEART.VOID*|of|CARE				1	1	2
With the maid of his bosom delighted to roam;	with.the|MAID|of.his|BO|som.de*|LIGHT|ed.to*|ROAM	2			2		
